Task,Category,Priority
Schedule contract for freelancer for next week,Work,Medium
Clean gym workout as soon as possible,Personal,Low
Plan dentist appointment,Personal,Medium
Memorize final exam immediately,Study,High
Submit biology chapter today,Study,High
Email bug in production,Work,High
Watch online course for next week,Study,Low
Read thesis introduction as soon as possible,Study,Medium
Attend online course for next week,Study,Medium
Attend team meeting as soon as possible,Work,High
Update business lead as soon as possible,Work,Medium
Practice biology chapter,Study,Medium
Plan dentist appointment today,Personal,Medium
Develop LinkedIn profile for next week,Work,Medium
Coordinate sprint plan,Work,Medium
Clean weekend trip as soon as possible,Personal,Low
Memorize geography project,Study,Medium
Pay Netflix movie for next week,Personal,Low
Complete business lead as soon as possible,Work,Medium
Complete thesis introduction for next week,Study,Medium
Present quarterly sales data as soon as possible,Work,Medium
Schedule sprint plan,Work,Medium
Clean dentist appointment today,Personal,Low
Exercise gym workout as soon as possible,Personal,Medium
Fix sprint plan immediately,Work,High
Read history essay immediately,Study,High
Read psychology notes today,Study,Medium
Read psychology notes immediately,Study,High
Schedule marketing strategy for next week,Work,Medium
Research machine learning tutorial by tomorrow,Study,Medium
Practice psychology notes by tomorrow,Study,Medium
Revise online course by tomorrow,Study,Medium
Research budget sheet for next week,Work,Medium
Submit final exam today,Study,High
Schedule LinkedIn profile for next week,Work,Medium
Email project report,Work,Medium
Research client proposal today,Work,Medium
Clean yoga session immediately,Personal,High
Complete client proposal for next week,Work,Medium
Visit living room today,Personal,Medium
Organize budget sheet as soon as possible,Work,Medium
Attend online course today,Study,Medium
Visit garden plants by tomorrow,Personal,Medium
Organize car today,Personal,Medium
Update sprint plan as soon as possible,Work,Medium
Email contract for freelancer today,Work,Medium
Watch garden plants as soon as possible,Personal,Low
Organize Netflix movie by tomorrow,Personal,Low
Buy electricity bill by tomorrow,Personal,High
Email client proposal,Work,Medium
Solve math assignment for next week,Study,Medium
Watch wardrobe as soon as possible,Personal,Low
Organize dentist appointment as soon as possible,Personal,Medium
Study English vocabulary by tomorrow,Study,Medium
Coordinate contract for freelancer by tomorrow,Work,Medium
Review project report for next week,Work,Medium
Schedule contract for freelancer,Work,Medium
Listen to car today,Personal,Medium
Call quarterly sales data,Work,Medium
Fix project report as soon as possible,Work,Medium
Develop office workstation for next week,Work,Medium
Develop client proposal,Work,Medium
Review budget sheet immediately,Work,High
Attend quarterly sales data for next week,Work,Medium
Develop team meeting as soon as possible,Work,High
Cook dancing class,Personal,Low
Analyze budget sheet,Work,Medium
Solve geography project today,Study,Medium
Solve English vocabulary today,Study,Medium
Organize client proposal today,Work,Medium
Coordinate marketing strategy,Work,Medium
Complete geography project today,Study,Medium
Review project report as soon as possible,Work,Medium
Write final exam for next week,Study,High
Visit yoga session immediately,Personal,High
Fix server maintenance by tomorrow,Work,Medium
Water favorite podcast as soon as possible,Personal,Low
Present office workstation,Work,Medium
Study machine learning tutorial,Study,Medium
Complete code documentation today,Work,Medium
Submit psychology notes as soon as possible,Study,High
Play weekly groceries today,Personal,Medium
Present contract for freelancer immediately,Work,High
Clean electricity bill as soon as possible,Personal,High
Listen to electricity bill for next week,Personal,High
Organize weekly groceries for next week,Personal,Medium
Exercise gym workout immediately,Personal,High
Organize weekend trip for next week,Personal,Low
Complete office workstation immediately,Work,High
Organize server maintenance by tomorrow,Work,Medium
Call contract for freelancer,Work,Medium
Read English vocabulary for next week,Study,Medium
Call project report as soon as possible,Work,Medium
Pay favorite podcast as soon as possible,Personal,Low
Watch weekend trip today,Personal,Low
Practice psychology notes immediately,Study,High
Organize electricity bill as soon as possible,Personal,High
Organize marketing strategy for next week,Work,Medium
Develop server maintenance for next week,Work,Medium
Watch thesis introduction,Study,Low
Submit quarterly sales data today,Work,High
Submit English vocabulary by tomorrow,Study,High
Present software feature today,Work,Medium
Water car today,Personal,Medium
Email sprint plan immediately,Work,High
Take notes for online course for next week,Study,Medium
Plan electricity bill immediately,Personal,High
Analyze budget sheet by tomorrow,Work,Medium
Attend client proposal today,Work,Medium
Plan living room by tomorrow,Personal,Medium
Attend garden plants for next week,Personal,Medium
Coordinate LinkedIn profile for next week,Work,Medium
Clean garden plants today,Personal,Low
Revise biology chapter by tomorrow,Study,Medium
Study English vocabulary as soon as possible,Study,Medium
Submit biology chapter by tomorrow,Study,High
Memorize university library books as soon as possible,Study,Medium
Read coding challenge,Study,Medium
Plan wardrobe for next week,Personal,Medium
Research bug in production today,Work,High
Go to electricity bill by tomorrow,Personal,High
Visit healthy dinner by tomorrow,Personal,Medium
Organize marketing strategy by tomorrow,Work,Medium
Revise university library books as soon as possible,Study,Medium
Complete project report today,Work,Medium
Attend contract for freelancer as soon as possible,Work,Medium
Exercise healthy dinner immediately,Personal,High
Organize contract for freelancer immediately,Work,High
Play living room immediately,Personal,High
Research office workstation as soon as possible,Work,Medium
Exercise healthy dinner as soon as possible,Personal,Medium
Research history essay for next week,Study,Medium
Prepare psychology notes immediately,Study,High
Complete math assignment immediately,Study,High
Study biology chapter as soon as possible,Study,Medium
Go to car today,Personal,Medium
Call code documentation immediately,Work,High
Review quarterly sales data today,Work,Medium
Call server maintenance today,Work,Medium
Complete quarterly sales data by tomorrow,Work,Medium
Cook dentist appointment today,Personal,Medium
Wash dentist appointment for next week,Personal,Medium
Go to wardrobe as soon as possible,Personal,Medium
Complete budget sheet by tomorrow,Work,Medium
Organize server maintenance as soon as possible,Work,Medium
Submit office workstation immediately,Work,High
Submit LinkedIn profile immediately,Work,High
Pay garden plants immediately,Personal,High
Present server maintenance,Work,Medium
Develop office workstation as soon as possible,Work,Medium
Plan car today,Personal,Medium
Listen to weekend trip immediately,Personal,High
Complete chemistry lab report as soon as possible,Study,Medium
Email contract for freelancer,Work,Medium
Practice final exam for next week,Study,High
Call project report for next week,Work,Medium
Visit wardrobe today,Personal,Medium
Plan wardrobe today,Personal,Medium
Practice math assignment,Study,Medium
Plan football with friends by tomorrow,Personal,Low
Clean dentist appointment by tomorrow,Personal,Low
Email code documentation today,Work,Medium
Call client proposal for next week,Work,Medium
Update quarterly sales data immediately,Work,High
Review sprint plan today,Work,Medium
Exercise gym workout,Personal,Medium
Attend project report today,Work,Medium
Wash living room,Personal,Medium
Clean electricity bill,Personal,High
Clean garden plants immediately,Personal,High
Exercise wardrobe as soon as possible,Personal,Medium
Submit history essay,Study,High
Memorize online course today,Study,Medium
Fix client proposal for next week,Work,Medium
Study history essay for next week,Study,Medium
Organize wardrobe for next week,Personal,Medium
Plan gym workout by tomorrow,Personal,Medium
Buy electricity bill,Personal,High
Coordinate quarterly sales data as soon as possible,Work,Medium
Update software feature today,Work,Medium
Visit favorite podcast,Personal,Low
Research chemistry lab report today,Study,Medium
Water car as soon as possible,Personal,Medium
Email marketing strategy by tomorrow,Work,Medium
Listen to yoga session by tomorrow,Personal,Medium
Wash weekend trip as soon as possible,Personal,Low
Watch chemistry lab report as soon as possible,Study,Low
Take notes for history essay immediately,Study,High
Draft quarterly sales data immediately,Work,High
Water football with friends immediately,Personal,High
Listen to electricity bill today,Personal,High
Update sprint plan,Work,Medium
Call LinkedIn profile for next week,Work,Medium
Present client proposal today,Work,Medium
Draft marketing strategy immediately,Work,High
Go to living room as soon as possible,Personal,Medium
Schedule marketing strategy immediately,Work,High
Submit software feature immediately,Work,High
Submit psychology notes for next week,Study,High
Call team meeting today,Work,High
Go to garden plants for next week,Personal,Medium
Submit server maintenance for next week,Work,High
Present code documentation for next week,Work,Medium
